Ticket,P/E,Description
TATN,4.67,Татнефть - факторы роста и падения акций  в 2022г.  Чистая прибыль выросла на 43%  выручка от переработки нефти и реализации нефтепродуктов составила 55% от общей выручки (в 2021г этот показатель был 25%) общие дивиденды за 2022г.  67р. на акцию (14% от текущей цены). ТАНЕКО (НПЗ Татнефти) - самый современный нефтеперерабатывающий завод в России который имеет максимальную глубину переработки нефти Татнефть планирует в ближайшем будущем нарастить объем переработки нефти до 100% объемов добычи - причем переработка нефти в последнее время приносит основную прибыль предприятия Компания активно развивает производство нефтехимической продукции из собственного сырья - производство шин ПЭТ упаковок и так далее.  Большая часть активов находится в Татарстане - компания не изъявляет желание серьезного расширения географии и роста активов
RTKM,7.48,Ростелеком - факторы роста и падения акций  Компания платит стабильные дивиденды не менее 5 рублей на акцию. в июле 2021 Осеевский заикнулся о повышении дивидендов до 55-6 рублей - сдвинулись с мертвой точки на которой стояли несколько лет. Фокус развития на цифровых сервисах Стратегия 2025 подразумевает увеличение выручки с уровня 2020 года до 700 млрд руб и удвоение прибыли. В 2022 году CEO говорил о том что цели будут достигнуты быстрее. Дешевле МТС примерно на 40% по различным мультипликаторам. Внутри есть отдельные компании которые могут стоить существенно дороже на рынке отдельно от Ростелекома.  Доходы от фиксированной связи постоянно падают На рынке интернет услуг жесткая конкуренция 35% кредитов и займов по плавающей ставке (30.06.2023). Долг высоковат - (18хEBITDA) (30.06.2023) Госа и дивидендов за 2022 год до сих пор нет
LSRG,2.54,"ЛСР Группа - факторы роста и падения акций  Большой портфель проектов превышающий в несколько раз капитализацию компании. Красный рост продаж в 2023 году  Слабый уровень коммуникаций с акционерами Мажоритарный акционер кредитует сам себя по сниженной ставке за счет ЛСР вместо того чтобы платить дивиденды (5 млрд руб в 1П22) КРАЙНЕ НИЗКИЕ ПРАКТИКИ КОРПОРАТИВНОГО УПРАВЛЕНИЯ!!! В НАЧАЛЕ 2023 ГОДА МЕНЕДЖМЕНТ ПОДАРИЛ САМ СЕБЕ 22МЛН АКЦИЙ НА 11 МЛРД РУБЛЕЙ КОТОРЫЕ БЫЛИ ВЫКУПЛЕНЫ ЗА СЧЕТ СРЕДСТВ КОМПАНИИ. Высокая долговая нагрузка (выше конкурентов ND/EBITDA = 27)"
BANE,1.77,Башнефть - факторы роста и падения акций  дешевизна по фундаментальному анализу (капитала 4000+ руб на 1 акцию) + высокая див доходность с учетом выплаты всего 25% прибыли по МСФО  Башнефть - дойная корова Роснефти через рост дебиторки Сразу после того как Роснефть стала контролирующим акционером в конце 2016 года компания перестала публиковать презентации MD&amp;A и проводить конференц-колл по результатам отчетности
SFIN,3.01,SFI  ЭсЭфАй - факторы роста и падения акций  Фундаментально дешёвая компания Холдинг внутри есть компании которые в сумме могут стоить кратно дороже чем отдельно ЭсЭфАй 573% акции квазиказначейские  21.07.2022 SFI купила 1037% тонущей М.Видео у Гуцериевской структуры Веридж Инвестментс Лимитед Продают по-немногу казначейские акции в стакан Акционер под санкциями
GTRK,37.6,Globaltruck (ГТМ) - факторы роста и падения акций   Вывели деньги займом (277 млрд руб) из компании в 2023 нарастив долговую нагрузку на эту величину Компания крайне низкомаржинальна Продали 20% парка тягачей в 2023 году получив за это всего 05 млрд руб При цене акций 400-500 руб стоимость компании завышена в разы
SPBE,31.0,СПб Биржа (SPB) - факторы роста и падения акций
MVID,-2.35,М.Видео-Эльдорадо - факторы роста и падения акций  Очень низкая рентабельность поэтому если вдруг рентабельность улучшится могут переоцениться.  С ростом популярности онлайн форматов есть риск падения операционной эффективности оффлайн магазинов Компании трудно конкурировать Количество заказов в 2022 году упало на 9% относительно 2021. Похоже М.Видео проигрывает борьбу маркетплейсам С апреля 22 наблюдается падение спроса на бытовую технику в РФ Компания не раз переписывала прошлые результаты в худшую сторону так что текущий отчет выглядит лучше. Непонятный акционер: высосал все соки дивидендами. В 2022 году сообщал что планирует выйти из актива. Компания много операционных затрат капитализирует свободный денежный поток стабильно в отрицательной зоне. Высокая долговая нагрузка чистый долг/EBITDA = 53х (30.06.2023)
LEAS,4.44,Европлан - факторы роста и падения акций  Высокий ROE около 40% последние годы Темпы роста портфеля лизинга последний год были около 40%  Темпы роста могут замедлиться из-за растущей конкуренции в том числе со стороны крупных банков Высокие ставки могут снизить маржинальность бизнеса
FEES,1.09,"Россети (ФСК) - факторы роста и падения акций  Россети-ФСК оценена ниже своих реальных чистых активов в 65 раз. и ниже НОМИНАЛА почти в 5 раз. При этом работает с прибылью. р.е = 2 правительству поручено оптимизировать инвестпрограмму в плане снижения ее финансирования в 2023-2027 гг. и переноса сроков некоторых проектов рассмотреть вопрос о дальнейшей индексации тарифов (в мае был повышен тариф для ЕНЭС на 63% - ИФ). Чистая прибыль на акцию по РСБУ за 9м23г = 024057р. при рыночной стоимости 0128р. Единственная АО имеющая рыночную стоимость в 4 раза ниже НОМИНАЛА = 50к.! при этом только доли дочерних компаний торгуемых в рынке оцениваются в 2 раза выше всей ФСК Россетей. так же у ФСК Россети 857% ИРАО.  балансовая стоимость Чистых активов = 18 трл.р при рыночной капитализации 027трл.р. компания работает с хорошей прибылью Чистые активы растут ежегодно  Реальный свободный денежный поток компании гораздо меньше ее прибыли по причине того что существенная ее часть тратится на стройку. Новые построенные мощности не увеличивают выручку но увеличивают амортизацию и тем самым сокращают прибыль Прибыльность компании в 2021 году начала снижаться из-за того что затраты растут опережающими выручку темпами Инвестпрограмма на 2023-2024г. превысит 1 трлн.руб. Из-за высокой ставки ЦБ в 2024г. резко вырастут процентные расходы (90% облигаций с плавающим купоном КС+премия) Дивидендов до 2026 года не ожидается - решение Президента РФ В. Путина"
ASTR,28.3,Группа Астра - факторы роста и падения акций  Импортозамещение иностранного ПО должно помогать расти выручке Высокие темпы роста - компания планирует утроить выручку за 2 года то есть 27 млрд руб выручки в 2026 году. Импортозамещение иностранного ПО должно помогать расти выручке: компания – лидер среди разработчиков инфраструктурного ПО в частности операционных систем (доля 76%) Высокие темпы роста - компания планирует утроить чистую прибыль за два года то есть по итогам 2025 года к 2023 году. Рынок отечественных разработчиков инфраструктурного ПО будет расти на 25% ежегодно в ближайшие шесть лет по оценкам Strategy Partners  Компания стоит дорого Зависимость отрасли от государственной поддержки Дефицит IT-кадров
ABIO,8.02,Артген биотех (ИСКЧ) - факторы роста и падения акций  Внутри венчуры которые могут выстрелить и кратно вырасти.  Компания дорогая стоит 10 годовых выручек.
PHOR,7.13,ФосАгро - факторы роста и падения акций  Производитель удобрений с самой низкой себестоимостью Рентабельность EBITDA - самая высокая среди конкурентов (40%) в 2019 году прошли пик CAPEX дальше ожидается рост FCF и дивидендов.  На мировом рынке фосфатных удобрений устойчивый избыток производственных мощностей который сохранится в 2020 г Повышение НДПИ в 35 раза с 1.1.2021 незначительно снизит прибыль (~ -2 млрд руб или -5%)
FESH,3.37,ДВМП - факторы роста и падения акций  Компания является бенефициаром перестройки логистических цепочек на Дальний Восток  Менеджмент компании обозначил что не собираются платить дивиденды до 2024 года (мажоритарий сидит платить смысла нет) Прибыль компании может упасть так как последняя прибыль была получена на циклическом пике ставок Мажоритарный пакет компании может стать государственным в этом случае судьба миноритариев становится неопределенной
QIWI,0.78,КИВИ (QIWI) - факторы роста и падения акций  Платежный бизнес показывает отличный рост Контора закрыла два неудачных проекта которые генерировали убытки: Совесть и Рокетбанк У компании много денег размер ликвидных активов превышает размер капитализации.  Киви регулярно имеет проблемы с ЦБ Реорганизация в форме разделения активов может нести риски для владельцев расписок.
WUSH,15.4,Вуш Холдинг  WHOOSH - факторы роста и падения акций  Одна из немногих растущих компаний. Кратный рост в 2022 и 2023 году. При сохранении значительного потенциала роста рынка.  Ужесточение регулирования. Сенатор Клишас 3.05.2023 предложил запретить самокаты на городских улицах оставив их только в парках Высокая рентабельность бизнеса показанная в 2021 году скорее всего в будущем будет только снижаться т.к. растущая конкуренция будет давить на цены. Рост удельных расходов на обслуживание флота (компания молодая с ростом срока службы флота расходы на его ремонт растут опережающими темпами).
SOFL,13.1,Softline - факторы роста и падения акций   Околонулевая прибыль и глубоко отрицательный денежный поток В отчетности за 1П2023 отразили куплю-продажу доли в Atalaia Management Group за 4 млрд руб под которые потом сделали резерв под обесценивание (вывод денег?)
UPRO,3.65,Юнипро - факторы роста и падения акций  ИнтерРАО может купить долю немцев 3 энергоблок Березовской ГРЭС запущен в 2021 году и до 2024 года компания будет получать повышенную плату за мощность по ДПМ-1 Отрицательный чистый долг на 30.06.2023г. = -453 млрд.руб. (рекордный показатель по компании)  25.04.2023г. долю Uniper (8373%) в акционерном капитале Юнипро передаются во временное управление Росимуществу Итоговый дивиденд за 20221 год отменен а за 2022 год дивиденды не рекомендовали и не ясно когда дивиденды возобновятся
RASP,5.04,Распадская - факторы роста и падения акций  Высокие цены на уголь Возможное возобновление выплаты дивидендов вместе с высокими финансовыми результатами могут дать высокую дивидендную доходность. Дешевые мультипликаторы  Основной акционер близок по доле к моменту возможного делистинга Компания приостановила выплаты дивидендов в 2022 году. Отказ от выделения из структуры Евраза Основной акционер Evraz - британская компания с акционерами под санкциями. Пока она не решит свои проблемы с переездом из недружественной юрисдикции то вероятно дивидендов в Распадской мы не увидим. Технологические риски у Роспотребнадзора бывают жалобы после которых приостанавливают работу. Трудности с логистикой из-за загруженности жд
HYDR,4.19,Русгидро - факторы роста и падения акций  Компания ждет роста EBITDA в 15 раза к 2025 году (до уровня примерно 180 млрд рублей) В 2023г. разрешено включать в тариф затраты на топливо предыдущих лет для Дальнего Востока что увеличит выручку и EBITDA В 2023г. ожидаю рост выработки на +50% так как идет восстановление выработки в Сибири Стабильно платят дивиденды с 2012 года (за 2022г. - 50% МСФО)  Хорошая компания на которую повесили обязательства по реанимации убыточной РАО ЭС Востока В июле 2020 увеличили 5-летнюю инвест программу на 171 млрд руб. До 2025 будет инвестировано 634 млрд руб из которых 430 пойдет на Дальний Восток. Тарифы на электроэнергию на Дальнем Востоке в 2023г. выросли на 150% а на тепловую энергию +116% - но для компании все равно этого не достаточно и без субсидий от государства получается убыток Выработка электроэнергии в 2022г. -90% - из-за малой водности в водохранилищах в Сибири FCF отрицательный из-за высокого capexa и от этого - растет общий долг на 30.06.2023г. = 265 млрд.руб.
OZPH,5.51,ОЗОН Фармацевтика - факторы роста и падения акций
DATA,11.1,Аренадата - факторы роста и падения акций
UNAC,-5.84,ОАК - факторы роста и падения акций  Процесс перехода на единую акцию ОАК Иркут и ГСС в теории может повысить эффективность компании  Глубоко убыточная неэффективная компания поддерживаемая государством Главный риск - это бюджетные проблемы России которые могут привести к приостановке финансированию ОАК Стратегия компании предусматривает выход на уровень безубыточности лишь к 2025 году Производственные площади ОАК 44 млн м2 - на 1/4 больше чем у Boeing Airbus Embraer и Bombardier вместе взятых. А самолетов ОАК производит в 15 раз меньше. Чистые активы ОАК сейчас по отчетности ниже стоимости акции на ММВБ.
SVAV,4.59,Соллерс - факторы роста и падения акций  На заводах Соллерс вместо японских и американских автомобилей собираются клоны китайских машин — Sollers Argo (клон китайской модели JAC N25/N35) Sollers Atlant (клон китайской модели JAC Sunray) и Sollers ST6 (клон китайской модели JAC T6) и к 2028 году планируют выпускать 65 000 шт в год! Государство выдает льготные кредиты на капитальные расходы Рынок новых LCV автомобилей в РФ с 2017 года составлял стабильно больше 100 000 автомобилей а в 2021 году достигал рекордных 143 992 штук но в 2022 году рухнут почти в 2 раза до 75 220 шт поэтому в 2024 году стоит ожидать роста г/г (в 2023 г. было продано 90 386 автомобилей) и пробития 100 000 автомобилей Долговая нагрузка у компании комфортная и чистый долг на 31.12.2023г. = 14 млрд руб.  Компания ориентировалась на сборку зарубежных авто ее деятельность может серьезно пострадать в результате ограничений наложенных другими странами а также из-за ухода из РФ иностранных производителей Больше не будет производить Ford Transit автомобили MAZDA грузовики Isuzu — все эти автогиганты после начала СВО продали свои доли в компании Соллерс и прекратили поставку комплектующих. Для реализации амбициозных планов к 2028 году могут не успеть и выпускать меньше автомобилей
SELG,17.1,Селигдар - факторы роста и падения акций  Менеджмент явно заинтересован в росте капитализации Контора за 2019 год первый раз выплатила приличный дивиденд  Стремительно наращивают долг Резкий рост капзатрат в 2022 году В 22 году сильно выросла себестоимость вслед за ростом материалов и большого роста расходов на оплату труда при этом выручка не выросла Низкое содержание золота в руде очень высокая cash cost себестоимость добычи унции Оценочные полные издержки добычи (AISC) – $1367 за унцию (2П22). Признаки ещё большего уменьшения содержания золота в перерабатываемой руде в последнее время.
NMTP,5.30,НМТП - факторы роста и падения акций  Уникальный актив. Генерирует огромный свободный денежный поток к-й почти не зависит от экономического цикла. Отличная рентабельность. Снижение покупок нефти со стороны ЕС после 24.02.22 должно спровоцировать рост перевалки через Новороссийский порт (избыточные мощности есть) Кандидат на приватизацию (20% принадлежит Росимуществу) капитализацию могут разогнать к данному сущфакту.  Стратегия до 2029 года подразумевает рост годовых капзатрат до 11 млрд в год в среднем что ограничит суммы для выплаты дивидендов. Компания с 2019 года перестала публиковать презентации для инвесторов Риск диверсии со стороны Украины.
AMEZ,4.17,Ашинский МЗ - факторы роста и падения акций   За 20 лет ни разу не выплатили дивиденды
RTKM,7.48,Ростелеком - факторы роста и падения акций  Компания платит стабильные дивиденды не менее 5 рублей на акцию. в июле 2021 Осеевский заикнулся о повышении дивидендов до 55-6 рублей - сдвинулись с мертвой точки на которой стояли несколько лет. Фокус развития на цифровых сервисах Стратегия 2025 подразумевает увеличение выручки с уровня 2020 года до 700 млрд руб и удвоение прибыли. В 2022 году CEO говорил о том что цели будут достигнуты быстрее. Дешевле МТС примерно на 40% по различным мультипликаторам. Внутри есть отдельные компании которые могут стоить существенно дороже на рынке отдельно от Ростелекома.  Доходы от фиксированной связи постоянно падают На рынке интернет услуг жесткая конкуренция 35% кредитов и займов по плавающей ставке (30.06.2023). Долг высоковат - (18хEBITDA) (30.06.2023) Госа и дивидендов за 2022 год до сих пор нет
CBOM,3.30,МКБ - факторы роста и падения акций  Кредитный портфель вырос в 2 раза за последние 2 года Мультипликаторы дешевле Сбера  Было 18 допэмиссий Низкая чистая процентная маржа Нет дивидендов Нет подробного раскрытия качества активов
BANE,1.77,Башнефть - факторы роста и падения акций  дешевизна по фундаментальному анализу (капитала 4000+ руб на 1 акцию) + высокая див доходность с учетом выплаты всего 25% прибыли по МСФО  Башнефть - дойная корова Роснефти через рост дебиторки Сразу после того как Роснефть стала контролирующим акционером в конце 2016 года компания перестала публиковать презентации MD&amp;A и проводить конференц-колл по результатам отчетности
MBNK,3.18,МТС Банк - факторы роста и падения акций
DIAS,15.9,Диасофт - факторы роста и падения акций  Спрос на софт существенно превышает предложение после 2022 года Компания нанимает по 200 чел в квартал предвидя расширение рынка Возможно что выручка компании в ближайшие годы будет расти на уровне 30% в год
ENPG,4.12,En+ - факторы роста и падения акций  Выкуп доли ВТБ убирает «навес» над рынком так как банк мог продать в рынок без согласования с OFAC Для вторичном размещении всего пакета выкупленного у ВТБ нужно задрать цену. Значит будут хорошие дивиденды и обещания перспектив от менеджмента. Выкупленные у ВТБ акции будут консолидированы в ее отчетности а дивиденды полученные на эти акции  улучшит кредитоспособность En+ Дешевый ESG актив (ГЭС+алюминий) и доля в ГМК Норникеле через РУСАЛ.  Рост долга в связи с выкупом акций У Русала запланирован большой капекс до 2030 года на обновление алюминиевых заводов до 2030 года ($5bn) Мажоритарий (Дерипаска) исторически не любит платить дивиденды
AGRO,4.68,Русагро - факторы роста и падения акций  Динамично развивающаяся компания с доступом к дешевому кредиту Компания осваивает Приморский край с выходом на азиатские рынки - главный триггер для роста которого ждём (цены там выше на 20-30%) Основные капзатраты завершены. Компания может наращивать FCF Компания регулярно платила дивиденды (пока на паузе из-за того что расписка)  Переговоры по открытию рынка Китая идут 7 лет при поддержке Путина пока безрезультатно. Все сегменты где работает Русагро имеют очень высокую конкуренцию. Подсолнечное масло сахар и мясо - везде перепроизводство в России. меры государства по квотированию экспорта и повышению экспортных пошлин Есть риски раскулачивания со стороны правительства из-за высоких цен на продовольствие Кипрская компания торгуется через расписки и дивиденды на паузе. Себестоимость выросла доходы компании снизились цикл изменился. Существенная доля активов граничит с Украиной (Белгородская и Курская области).
MDMG,6.77,Мать и Дитя (MD) - факторы роста и падения акций  Компания пока демонстрирует неплохие темпы роста бизнеса за счет экспансии в регионы В сентябре 2020 достроили Лапино-2. Завершили CAPEX 39 млрд рублей в результатах 2021 приведет к росту выручки. Компания регулярно открывает новые клиники и строит/покупает госпитали. По немногу это дает рост выручки и прибыли. У компании есть целевой roic в 20% и они его соблюдают.  Рост показателей обусловлен вводом новых корпусов после 24 февраля большая часть инвестиций приостановлена Компания не дешевая EV/EBITDA = 7 P/E = 95
ROLO,-1.88,Русолово - факторы роста и падения акций  Аленка капитал за покупку  одни убытки. рыночная капитализация превышает балансовую стоимость в 20 раз!
MRKC,2.67,Россети Центр - факторы роста и падения акций  Компания стабильно платит дивиденды с 2010 года а с 2020г. дивидендные выплаты ежегодно растут Чистый долг на 31.12.2023г. будет равняться примерно 350 млрд.руб. а коэффициент чистый долг/EBITDA снизится с текущих 14 до 12 к 2027 году  Есть риск что инвестиционная программа в 2024г. может вырасти потому что три области в которых работает компания граничат с Украиной (Брянская Курская и Белгородская) а последнее время происходят диверсии и нападения на территорию. 22 января 2024 года в Россети Центр утвержден Бизнес-план на 2024 год где чистая прибыль снижается на -184% до 487 млрд.руб. По полезному отпуску электроэнергии прогнозируется стагнация роста не планируется до 2027 года.
LENT,8.98,Лента - факторы роста и падения акций  Компания хочет удвоить выручку 2020 года к 2025 году до 1 трлн рублей Новые M&A могут улучшить финансовые результаты Компания улучшила свои операционные метрики. Смена фокуса со стагнирующего гипермаркета к масштабируемому магазину у дома.  Компания допускает возможность проведения SPO но по более высоким ценам Дивиденды не в приоритете. 1 - долговая нагрузка 2 - Рост продаж и развитие бизнеса 3 - дивиденды. Можно бесконечно пытаться нарастить продажи и не платить дивиденды. Рентабельность последние годы снижалась c 9% до 6% в 2022 году (по EBITDA)
AQUA,22.8,Инарктика (Русская Аквакультура) - факторы роста и падения акций  Рыболовные участки позволяют нарастить мощность в 3 раза по сравнению с 2020 годом - до 50 тыс т. Практически монопольное положение в России по аквакультурному свежему лососю в России Импорт лосося в Россию из Чили и Фарерских островов почти обнулился в России страшный дефицит лосося и рост цен на него  Отсутствует ясная дивидендная политика Нет широкой диверсификации по видам продукции выращивают в основном морской лосось и форель. Биологические риски не равны нулю. В 2015 году мор рыбы оказал серьезное негативное влияние на компанию Компания полностью зависит от импорта (100% смолт 100% корма 100% оборудования) поэтому если против нее введут санкции то это конец. Компания не выпустила отчет за 2021 год и перестала публиковать вообще какие-либо новости или информацию о себе на сайт с февраля 2022 года
UNKL,-32.0,ЮУНК - факторы роста и падения акций
LSNG,5.10,Россети Ленэнерго - факторы роста и падения акций  Крупнейшая электросетевая компания СПБ и области Для префов: изменение количества обыкновенных акций не влияет на размер дивидендов приходящихся на префы. в Уставе прописаны дивы в размере 10% ЧП на префы. ДД одна из самых высоких по рынку Ожидается ежегодный рост электропотребления в регионе присутствия с 2024 года. Чистый долг на 31.12.2023г. ожидается близкий к 0!  Ожидается рекордная инвестпрограмма в 2024-2025гг. Хаотичное непредсказуемое начисление оценочных обязательств а также обесценение основных средств что влияет на чистую прибыль Регулируемые тарифы которые устанавливает государство (комитет по тарифам и ценовой политике).
TGKN,7.39,ТГК-14 - факторы роста и падения акций  Возможна покупка со стороны СУЭК  Мощность станций не меняется уже много лет. А зачем? Чистая рентабельность низкая в генерации в разы хуже конкурентов из западной части России РЖД мечтает продать станцию много лет но не может найти покупателя
KMAZ,12.5,КАМАЗ - факторы роста и падения акций   США включили КАМАЗ в SDN Лист несмотря на все мытарства и уловки экспорт составлял 96% выручки компании
VSEH,16.1,ВсеИнструменты.ру - факторы роста и падения акций
APTK,276.2,Аптеки 36 и 6 - факторы роста и падения акций   стабильно убыточная компания с большим долгом акционерный капитал размывается допэмиссиями компания убыточна даже на на операционном уровне плюс ещё платит большие проценты по долгу долг Аптек растет Похоже главная проблема компании состоит в том что она платит слишком дорогую арендную плату под свои аптеки в Москве Если примут закон который разрешает продажу безрецептурных препаратов прод.магазинами Аптекам 366 может прийти конец Компания вообще не отчитывается перед акционерами
RBCM,-42.1,РБК - факторы роста и падения акций  Путин сказал что такой канал как РБК должен быть и что он и сам его иногда смотрит  Компания - де-факто банкрот с огромным долгом 15 млрд руб и без какой-либо возможности самостоятельно с этим долгом расплатится Процентные расходы РБК превышают ее EBITDA в 2015 и 2016 годах Компания в хроническом убытке
BELU,11.3,НоваБев Групп (Белуга Групп) - факторы роста и падения акций  Компания планирует удвоить бизнес в течение 4 лет: с 63 млрд выручки до 130 млрд Драйвер роста бизнеса: +2400 точек Winelab которые планируется открыть к 2024 году. Бенефициар ухода западных алкогольных брендов Компания выкупает свои акции и учитывает их при выплате дивидендов (платит больше потому что деньги все равно останутся в компании).  Стоят адекватно по мультипликаторам (рост заложен в оценку) В 2023 году продавали свои квазиказначейские акции. В 2023 году маржинальность после рекордного года сокращается.
DELI,20.3,Делимобиль (Каршеринг Руссия) - факторы роста и падения акций
MSNG,44.5,Мосэнерго - факторы роста и падения акций  Дивиденды 50% от скорректированной чистой прибыли по РСБУ и МСФО Общий долг с 2023 года равен 0 а чистый долг на 30.06.2023г. отрицательный = -524 млрд.руб.  Самые старые мощности в российской генерации. Половина станций - старше 45 лет. Вероятный CAPEX с 2019 года может составить 25 млрд руб в год В конце 2024 года продажи мощности по ДПМ-1 закончатся что снизит прибыль Компания предпочитает одалживать деньги Газпрому нежели увеличивать дивиденды
RENI,7.28,Ренессанс Страхование - факторы роста и падения акций  Портфель компании растет и растет объем страховых премии Покупка иностранных конкурентов с дисконтом Стабильный рост в части non-life страхования. Потенциал роста рынка страхования жизни в россии кратный.  Компания не смогла продать свои акции на IPO из-за отсутствия спроса. 25 октября организатор размещения Sova Capital взяла на свой баланс 30 млн акций (54%) на 4 млрд рублей которые теперь они будут пытаться продать тем или иным способом. Компания стоит больше баланса
HNFG,7.17,Henderson (Хэндерсон фэшн групп) - факторы роста и падения акций   В 2022 году у компании произошел временный двухкратный взлет рентабельности за счет повышения цен (на фоне ухода зарубежных сетей)
AKRN,17.4,Акрон - факторы роста и падения акций   Низкий Free-float всего 36%. Нет презентаций для инвесторов невысокий уровень раскрытия информации Высокий показатель EV/EBITDA=10
CIAN,19.6,ЦИАН - факторы роста и падения акций
GEMC,5.73,ЕМС  ЮМГ - факторы роста и падения акций  Цены компании номинированы в евро - возможная защита от девальвации Компания направляет всю чистую прибыль на дивиденды (крупных инвестиционных проектов не предвидится)  Рост возможен только за счет эффективности. Крупных проектов в будущем нет.
FIXP,5.78,Fix Price - факторы роста и падения акций  Нет долга Рентабельность компании по итогам 2020 составила феноменальные 10% - выше чем у всех представителей продовольственной розницы  Компания БЫЛА монополистом в сегменте. В 2020 году на эту поляну вышли X5 (сеть Чижик) Магнит (сеть Моя цена) Лента (365+) 15-16 млрд руб компания планирует вложить в строительство новых складских комплексов в течение 4-5 лет. Трафик существенно сократился выручка стагнирует Самый дорогой ритейлер по мультипликаторам В 2023 резко увеличили выплаты менеджменту которые составили >40% от дивидендной выплаты акционерам
